,arg1,arg2,verb,sentence,verb_idx,label,new_column
91,anxiety,,communicate, He communicated his anxieties to the psychiatrist .,1,0,"[(' ', 'SPACE'), ('He', 'PRON'), ('communicated', 'VERB'), ('his', 'PRON'), ('anxieties', 'NOUN'), ('to', 'ADP'), ('the', 'DET'), ('psychiatrist', 'NOUN'), ('.', 'PUNCT')]"
92,disease,,communicate, communicate a disease .,0,1,"[(' ', 'SPACE'), ('communicate', 'VERB'), ('a', 'DET'), ('disease', 'NOUN'), ('.', 'PUNCT')]"
93,room,,communicate, The rooms communicated .,2,1,"[(' ', 'SPACE'), ('The', 'DET'), ('rooms', 'NOUN'), ('communicated', 'VERB'), ('.', 'PUNCT')]"
94,haircut,,compare, John compared his haircut to his friend 's .,1,0,"[(' ', 'SPACE'), ('John', 'PROPN'), ('compared', 'VERB'), ('his', 'PRON'), ('haircut', 'NOUN'), ('to', 'ADP'), ('his', 'PRON'), ('friend', 'NOUN'), (""'s"", 'PART'), ('.', 'PUNCT')]"
95,car,,compare, This car does not compare with our line of Mercedes .,4,0,"[(' ', 'SPACE'), ('This', 'DET'), ('car', 'NOUN'), ('does', 'AUX'), ('not', 'PART'), ('compare', 'VERB'), ('with', 'ADP'), ('our', 'PRON'), ('line', 'NOUN'), ('of', 'ADP'), ('Mercedes', 'PROPN'), ('.', 'PUNCT')]"
96,dynasty,,compare, We can compare the Han dynasty to the Romans .,2,0,"[(' ', 'SPACE'), ('We', 'PRON'), ('can', 'AUX'), ('compare', 'VERB'), ('the', 'DET'), ('Han', 'PROPN'), ('dynasty', 'NOUN'), ('to', 'ADP'), ('the', 'DET'), ('Romans', 'PROPN'), ('.', 'PUNCT')]"
97,personality,,compose, Greed and ambition composed his personality .,3,1,"[(' ', 'SPACE'), ('Greed', 'PROPN'), ('and', 'CCONJ'), ('ambition', 'NOUN'), ('composed', 'VERB'), ('his', 'PRON'), ('personality', 'NOUN'), ('.', 'PUNCT')]"
98,symphony,,compose, Beethoven composed nine symphonies .,1,0,"[(' ', 'SPACE'), ('Beethoven', 'VERB'), ('composed', 'VERB'), ('nine', 'NUM'), ('symphonies', 'NOUN'), ('.', 'PUNCT')]"
99,office,,computerize, Our office is fully computerized now .,4,0,"[(' ', 'SPACE'), ('Our', 'PRON'), ('office', 'NOUN'), ('is', 'AUX'), ('fully', 'ADV'), ('computerized', 'VERB'), ('now', 'ADV'), ('.', 'PUNCT')]"
100,industry,,computerize, They computerized the car industry .,1,0,"[(' ', 'SPACE'), ('They', 'PRON'), ('computerized', 'VERB'), ('the', 'DET'), ('car', 'NOUN'), ('industry', 'NOUN'), ('.', 'PUNCT')]"
101,content,,condense, condense the contents of a book into a summary .,0,1,"[(' ', 'SPACE'), ('condense', 'VERB'), ('the', 'DET'), ('contents', 'NOUN'), ('of', 'ADP'), ('a', 'DET'), ('book', 'NOUN'), ('into', 'ADP'), ('a', 'DET'), ('summary', 'NOUN'), ('.', 'PUNCT')]"
102,air,,condense, The cold air condensed the steam .,3,0,"[(' ', 'SPACE'), ('The', 'DET'), ('cold', 'ADJ'), ('air', 'NOUN'), ('condensed', 'VERB'), ('the', 'DET'), ('steam', 'NOUN'), ('.', 'PUNCT')]"
103,planet,,condense, All our planets condensed out of the same material .,3,0,"[(' ', 'SPACE'), ('All', 'DET'), ('our', 'PRON'), ('planets', 'NOUN'), ('condensed', 'VERB'), ('out', 'ADP'), ('of', 'ADP'), ('the', 'DET'), ('same', 'ADJ'), ('material', 'NOUN'), ('.', 'PUNCT')]"
104,plan,,condense, Congress condensed the three - year plan into a six - month plan .,1,1,"[(' ', 'SPACE'), ('Congress', 'PROPN'), ('condensed', 'VERB'), ('the', 'DET'), ('three', 'NUM'), ('-', 'PUNCT'), ('year', 'NOUN'), ('plan', 'NOUN'), ('into', 'ADP'), ('a', 'DET'), ('six', 'NUM'), ('-', 'PUNCT'), ('month', 'NOUN'), ('plan', 'NOUN'), ('.', 'PUNCT')]"
105,crowd,,convulse, The comedian convulsed the crowd .,2,1,"[(' ', 'SPACE'), ('The', 'DET'), ('comedian', 'NOUN'), ('convulsed', 'VERB'), ('the', 'DET'), ('crowd', 'NOUN'), ('.', 'PUNCT')]"
106,earthquake,,convulse, earthquakes convulsed the countryside .,1,1,"[(' ', 'SPACE'), ('earthquakes', 'NOUN'), ('convulsed', 'VERB'), ('the', 'DET'), ('countryside', 'NOUN'), ('.', 'PUNCT')]"
107,spasm,,convulse, The spasm convulses her facial muscles .,2,0,"[(' ', 'SPACE'), ('The', 'DET'), ('spasm', 'NOUN'), ('convulses', 'VERB'), ('her', 'PRON'), ('facial', 'ADJ'), ('muscles', 'NOUN'), ('.', 'PUNCT')]"
108,muscle,,convulse, The muscles in her face convulsed .,5,0,"[(' ', 'SPACE'), ('The', 'DET'), ('muscles', 'NOUN'), ('in', 'ADP'), ('her', 'PRON'), ('face', 'NOUN'), ('convulsed', 'VERB'), ('.', 'PUNCT')]"
109,crocodile,,crawl, The crocodile was crawling along the riverbed .,3,0,"[(' ', 'SPACE'), ('The', 'DET'), ('crocodile', 'NOUN'), ('was', 'AUX'), ('crawling', 'VERB'), ('along', 'ADP'), ('the', 'DET'), ('riverbed', 'NOUN'), ('.', 'PUNCT')]"
110,skin,,crawl, My skin crawled -- I was terrified .,2,1,"[(' ', 'SPACE'), ('My', 'PRON'), ('skin', 'NOUN'), ('crawled', 'VERB'), ('--', 'PUNCT'), ('I', 'PRON'), ('was', 'AUX'), ('terrified', 'VERB'), ('.', 'PUNCT')]"
111,cheese,,crawl, The old cheese was crawling with maggots .,4,1,"[(' ', 'SPACE'), ('The', 'DET'), ('old', 'ADJ'), ('cheese', 'NOUN'), ('was', 'AUX'), ('crawling', 'VERB'), ('with', 'ADP'), ('maggots', 'NOUN'), ('.', 'PUNCT')]"
112,child,,crawl, European children learn the breast stroke ; they often do n't know how to crawl .,14,0,"[(' ', 'SPACE'), ('European', 'ADJ'), ('children', 'NOUN'), ('learn', 'VERB'), ('the', 'DET'), ('breast', 'NOUN'), ('stroke', 'ADV'), (';', 'PUNCT'), ('they', 'PRON'), ('often', 'ADV'), ('do', 'AUX'), (""n't"", 'PART'), ('know', 'VERB'), ('how', 'SCONJ'), ('to', 'PART'), ('crawl', 'NOUN'), ('.', 'PUNCT')]"
113,prince,,crown, The prince was crowned in Westminster Abbey .,3,0,"[(' ', 'SPACE'), ('The', 'DET'), ('prince', 'NOUN'), ('was', 'AUX'), ('crowned', 'VERB'), ('in', 'ADP'), ('Westminster', 'PROPN'), ('Abbey', 'PROPN'), ('.', 'PUNCT')]"
114,meeting,,crown, The speech crowned the meeting .,2,1,"[(' ', 'SPACE'), ('The', 'DET'), ('speech', 'NOUN'), ('crowned', 'VERB'), ('the', 'DET'), ('meeting', 'NOUN'), ('.', 'PUNCT')]"
115,building,,crown, A weather vane crowns the building .,3,1,"[(' ', 'SPACE'), ('A', 'DET'), ('weather', 'NOUN'), ('vane', 'NOUN'), ('crowns', 'VERB'), ('the', 'DET'), ('building', 'NOUN'), ('.', 'PUNCT')]"
116,can,,crush, crush an aluminum can .,0,0,"[(' ', 'SPACE'), ('crush', 'VERB'), ('an', 'DET'), ('aluminum', 'NOUN'), ('can', 'AUX'), ('.', 'PUNCT')]"
117,toy,,crush, The car crushed the toy .,2,0,"[(' ', 'SPACE'), ('The', 'DET'), ('car', 'NOUN'), ('crushed', 'VERB'), ('the', 'DET'), ('toy', 'NOUN'), ('.', 'PUNCT')]"
118,refusal,,crush, She was crushed by his refusal of her invitation .,2,1,"[(' ', 'SPACE'), ('She', 'PRON'), ('was', 'AUX'), ('crushed', 'VERB'), ('by', 'ADP'), ('his', 'PRON'), ('refusal', 'NOUN'), ('of', 'ADP'), ('her', 'PRON'), ('invitation', 'NOUN'), ('.', 'PUNCT')]"
119,bottle,,crush, The plastic bottle crushed against the wall .,3,0,"[(' ', 'SPACE'), ('The', 'DET'), ('plastic', 'ADJ'), ('bottle', 'NOUN'), ('crushed', 'VERB'), ('against', 'ADP'), ('the', 'DET'), ('wall', 'NOUN'), ('.', 'PUNCT')]"
120,smoke,,curl, The cigar smoke curled up at the ceiling .,3,1,"[(' ', 'SPACE'), ('The', 'DET'), ('cigar', 'NOUN'), ('smoke', 'NOUN'), ('curled', 'VERB'), ('up', 'ADP'), ('at', 'ADP'), ('the', 'DET'), ('ceiling', 'NOUN'), ('.', 'PUNCT')]"
121,hair,,curl," Curl my hair , please .",0,0,"[(' ', 'SPACE'), ('Curl', 'PROPN'), ('my', 'PRON'), ('hair', 'NOUN'), (',', 'PUNCT'), ('please', 'INTJ'), ('.', 'PUNCT')]"
122,plate,,dash, He dashed the plate against the wall .,1,0,"[(' ', 'SPACE'), ('He', 'PRON'), ('dashed', 'VERB'), ('the', 'DET'), ('plate', 'NOUN'), ('against', 'ADP'), ('the', 'DET'), ('wall', 'NOUN'), ('.', 'PUNCT')]"
123,ambition,,dash, dashed ambitions and hopes .,0,1,"[(' ', 'SPACE'), ('dashed', 'VERB'), ('ambitions', 'NOUN'), ('and', 'CCONJ'), ('hopes', 'NOUN'), ('.', 'PUNCT')]"
124,paint,,dash, blue paint dashed with white .,2,0,"[(' ', 'SPACE'), ('blue', 'ADJ'), ('paint', 'NOUN'), ('dashed', 'VERB'), ('with', 'ADP'), ('white', 'ADJ'), ('.', 'PUNCT')]"
125,mattress,,deflate, deflate the air mattress .,0,0,"[(' ', 'SPACE'), ('deflate', 'VERB'), ('the', 'DET'), ('air', 'NOUN'), ('mattress', 'NOUN'), ('.', 'PUNCT')]"
126,confidence,,deflate, The bad review of his work deflated his self - confidence .,6,1,"[(' ', 'SPACE'), ('The', 'DET'), ('bad', 'ADJ'), ('review', 'NOUN'), ('of', 'ADP'), ('his', 'PRON'), ('work', 'NOUN'), ('deflated', 'VERB'), ('his', 'PRON'), ('self', 'NOUN'), ('-', 'PUNCT'), ('confidence', 'NOUN'), ('.', 'PUNCT')]"
127,economy,,deflate, The new measures deflated the economy .,3,1,"[(' ', 'SPACE'), ('The', 'DET'), ('new', 'ADJ'), ('measures', 'NOUN'), ('deflated', 'VERB'), ('the', 'DET'), ('economy', 'NOUN'), ('.', 'PUNCT')]"
128,currency,,deflate, deflate the currency .,0,1,"[(' ', 'SPACE'), ('deflate', 'VERB'), ('the', 'DET'), ('currency', 'NOUN'), ('.', 'PUNCT')]"
129,balloon,,deflate, The balloons deflated .,2,0,"[(' ', 'SPACE'), ('The', 'DET'), ('balloons', 'NOUN'), ('deflated', 'VERB'), ('.', 'PUNCT')]"
130,suit,,design, Chanel designed the famous suit .,1,0,"[(' ', 'SPACE'), ('Chanel', 'PROPN'), ('designed', 'VERB'), ('the', 'DET'), ('famous', 'ADJ'), ('suit', 'NOUN'), ('.', 'PUNCT')]"
131,excuse,,design, She designed a good excuse for not attending classes that day .,1,1,"[(' ', 'SPACE'), ('She', 'PRON'), ('designed', 'VERB'), ('a', 'DET'), ('good', 'ADJ'), ('excuse', 'NOUN'), ('for', 'ADP'), ('not', 'PART'), ('attending', 'VERB'), ('classes', 'NOUN'), ('that', 'DET'), ('day', 'NOUN'), ('.', 'PUNCT')]"
132,home,,devour, Fire had devoured our home .,2,1,"[(' ', 'SPACE'), ('Fire', 'PROPN'), ('had', 'AUX'), ('devoured', 'VERB'), ('our', 'PRON'), ('home', 'NOUN'), ('.', 'PUNCT')]"
133,novel,,devour, She devoured his novels .,1,1,"[(' ', 'SPACE'), ('She', 'PRON'), ('devoured', 'VERB'), ('his', 'PRON'), ('novels', 'NOUN'), ('.', 'PUNCT')]"
134,sandwich,,devour, he devoured three sandwiches .,1,0,"[(' ', 'SPACE'), ('he', 'PRON'), ('devoured', 'VERB'), ('three', 'NUM'), ('sandwiches', 'NOUN'), ('.', 'PUNCT')]"
135,milk,,digest, I can not digest milk products .,3,0,"[(' ', 'SPACE'), ('I', 'PRON'), ('can', 'AUX'), ('not', 'PART'), ('digest', 'VERB'), ('milk', 'NOUN'), ('products', 'NOUN'), ('.', 'PUNCT')]"
136,information,,digest, I can not digest all this information .,3,1,"[(' ', 'SPACE'), ('I', 'PRON'), ('can', 'AUX'), ('not', 'PART'), ('digest', 'VERB'), ('all', 'DET'), ('this', 'DET'), ('information', 'NOUN'), ('.', 'PUNCT')]"
137,protein,,digest, Protein digests in a few hours .,1,0,"[(' ', 'SPACE'), ('Protein', 'NOUN'), ('digests', 'NOUN'), ('in', 'ADP'), ('a', 'DET'), ('few', 'ADJ'), ('hours', 'NOUN'), ('.', 'PUNCT')]"
138,law,,digest, the government digested the entire law into a code .,2,1,"[(' ', 'SPACE'), ('the', 'DET'), ('government', 'NOUN'), ('digested', 'VERB'), ('the', 'DET'), ('entire', 'ADJ'), ('law', 'NOUN'), ('into', 'ADP'), ('a', 'DET'), ('code', 'NOUN'), ('.', 'PUNCT')]"
139,martini,,down, He downed three martinis before dinner .,1,1,"[(' ', 'SPACE'), ('He', 'PRON'), ('downed', 'VERB'), ('three', 'NUM'), ('martinis', 'NOUN'), ('before', 'ADP'), ('dinner', 'NOUN'), ('.', 'PUNCT')]"
140,pound,,down, Some people can down a pound of meat in the course of one meal .,3,1,"[(' ', 'SPACE'), ('Some', 'DET'), ('people', 'NOUN'), ('can', 'AUX'), ('down', 'ADP'), ('a', 'DET'), ('pound', 'NOUN'), ('of', 'ADP'), ('meat', 'NOUN'), ('in', 'ADP'), ('the', 'DET'), ('course', 'NOUN'), ('of', 'ADP'), ('one', 'NUM'), ('meal', 'NOUN'), ('.', 'PUNCT')]"
141,suspect,,down, The policeman downed the heavily armed suspect .,2,0,"[(' ', 'SPACE'), ('The', 'DET'), ('policeman', 'NOUN'), ('downed', 'VERB'), ('the', 'DET'), ('heavily', 'ADV'), ('armed', 'ADJ'), ('suspect', 'NOUN'), ('.', 'PUNCT')]"
142,water,,drain, The rain water drains into this big vat .,3,0,"[(' ', 'SPACE'), ('The', 'DET'), ('rain', 'NOUN'), ('water', 'NOUN'), ('drains', 'NOUN'), ('into', 'ADP'), ('this', 'DET'), ('big', 'ADJ'), ('vat', 'NOUN'), ('.', 'PUNCT')]"
143,tank,,drain, We drained the oil tank .,1,0,"[(' ', 'SPACE'), ('We', 'PRON'), ('drained', 'VERB'), ('the', 'DET'), ('oil', 'NOUN'), ('tank', 'NOUN'), ('.', 'PUNCT')]"
144,life,,drain, Life in the camp drained him .,4,1,"[(' ', 'SPACE'), ('Life', 'PROPN'), ('in', 'ADP'), ('the', 'DET'), ('camp', 'NOUN'), ('drained', 'VERB'), ('him', 'PRON'), ('.', 'PUNCT')]"
145,snow,,drift, snow drifting several feet high .,1,0,"[(' ', 'SPACE'), ('snow', 'NOUN'), ('drifting', 'VERB'), ('several', 'ADJ'), ('feet', 'NOUN'), ('high', 'ADJ'), ('.', 'PUNCT')]"
146,price,,drift, stock prices are drifting higher .,3,1,"[(' ', 'SPACE'), ('stock', 'NOUN'), ('prices', 'NOUN'), ('are', 'AUX'), ('drifting', 'VERB'), ('higher', 'ADJ'), ('.', 'PUNCT')]"
147,son,,drift, My son drifted around for years in California before going to law school .,2,1,"[(' ', 'SPACE'), ('My', 'PRON'), ('son', 'NOUN'), ('drifted', 'VERB'), ('around', 'ADV'), ('for', 'ADP'), ('years', 'NOUN'), ('in', 'ADP'), ('California', 'PROPN'), ('before', 'ADP'), ('going', 'VERB'), ('to', 'PART'), ('law', 'NOUN'), ('school', 'NOUN'), ('.', 'PUNCT')]"
148,man,,drift, The unknown young man drifted among the invited guests .,4,1,"[(' ', 'SPACE'), ('The', 'DET'), ('unknown', 'ADJ'), ('young', 'ADJ'), ('man', 'NOUN'), ('drifted', 'VERB'), ('among', 'ADP'), ('the', 'DET'), ('invited', 'VERB'), ('guests', 'NOUN'), ('.', 'PUNCT')]"
149,boat,,drift, drift the boats downstream .,0,0,"[(' ', 'SPACE'), ('drift', 'VERB'), ('the', 'DET'), ('boats', 'NOUN'), ('downstream', 'ADJ'), ('.', 'PUNCT')]"
150,market,,drift, The stock market drifted upward .,3,1,"[(' ', 'SPACE'), ('The', 'DET'), ('stock', 'NOUN'), ('market', 'NOUN'), ('drifted', 'VERB'), ('upward', 'ADV'), ('.', 'PUNCT')]"
151,liter,,drink, The patient must drink several liters each day .,3,0,"[(' ', 'SPACE'), ('The', 'DET'), ('patient', 'NOUN'), ('must', 'AUX'), ('drink', 'VERB'), ('several', 'ADJ'), ('liters', 'NOUN'), ('each', 'DET'), ('day', 'NOUN'), ('.', 'PUNCT')]"
152,word,,drink, The mother drinks in every word of her son on the stage .,2,1,"[(' ', 'SPACE'), ('The', 'DET'), ('mother', 'NOUN'), ('drinks', 'VERB'), ('in', 'ADP'), ('every', 'DET'), ('word', 'NOUN'), ('of', 'ADP'), ('her', 'PRON'), ('son', 'NOUN'), ('on', 'ADP'), ('the', 'DET'), ('stage', 'NOUN'), ('.', 'PUNCT')]"
153,husband,,drink, The husband drinks and beats his wife .,2,0,"[(' ', 'SPACE'), ('The', 'DET'), ('husband', 'NOUN'), ('drinks', 'VERB'), ('and', 'CCONJ'), ('beats', 'VERB'), ('his', 'PRON'), ('wife', 'NOUN'), ('.', 'PUNCT')]"
154,trouble,,drown, She drowned her trouble in alcohol .,1,1,"[(' ', 'SPACE'), ('She', 'PRON'), ('drowned', 'VERB'), ('her', 'PRON'), ('trouble', 'NOUN'), ('in', 'ADP'), ('alcohol', 'NOUN'), ('.', 'PUNCT')]"
155,child,,drown, The child drowned in the lake .,2,0,"[(' ', 'SPACE'), ('The', 'DET'), ('child', 'NOUN'), ('drowned', 'VERB'), ('in', 'ADP'), ('the', 'DET'), ('lake', 'NOUN'), ('.', 'PUNCT')]"
156,surface,,dull, Age had dulled the surface .,2,0,"[(' ', 'SPACE'), ('Age', 'PROPN'), ('had', 'AUX'), ('dulled', 'VERB'), ('the', 'DET'), ('surface', 'NOUN'), ('.', 'PUNCT')]"
157,appetite,,dull, Middle age dulled her appetite for travel .,2,1,"[(' ', 'SPACE'), ('Middle', 'ADJ'), ('age', 'NOUN'), ('dulled', 'VERB'), ('her', 'PRON'), ('appetite', 'NOUN'), ('for', 'ADP'), ('travel', 'NOUN'), ('.', 'PUNCT')]"
158,garbage,,dump, The truck dumped the garbage in the street .,2,0,"[(' ', 'SPACE'), ('The', 'DET'), ('truck', 'NOUN'), ('dumped', 'VERB'), ('the', 'DET'), ('garbage', 'NOUN'), ('in', 'ADP'), ('the', 'DET'), ('street', 'NOUN'), ('.', 'PUNCT')]"
159,proprietor,,emerge," Suddenly , the proprietor emerged from his office .",4,0,"[(' ', 'SPACE'), ('Suddenly', 'ADV'), (',', 'PUNCT'), ('the', 'DET'), ('proprietor', 'NOUN'), ('emerged', 'VERB'), ('from', 'ADP'), ('his', 'PRON'), ('office', 'NOUN'), ('.', 'PUNCT')]"
160,result,,emerge, Some nice results emerged from the study .,3,1,"[(' ', 'SPACE'), ('Some', 'DET'), ('nice', 'ADJ'), ('results', 'NOUN'), ('emerged', 'VERB'), ('from', 'ADP'), ('the', 'DET'), ('study', 'NOUN'), ('.', 'PUNCT')]"
161,event,,engrave, The event engraved itself into her memory .,2,1,"[(' ', 'SPACE'), ('The', 'DET'), ('event', 'NOUN'), ('engraved', 'VERB'), ('itself', 'PRON'), ('into', 'ADP'), ('her', 'PRON'), ('memory', 'NOUN'), ('.', 'PUNCT')]"
162,pen,,engrave, engrave the pen with the owner 's name .,0,0,"[(' ', 'SPACE'), ('engrave', 'VERB'), ('the', 'DET'), ('pen', 'NOUN'), ('with', 'ADP'), ('the', 'DET'), ('owner', 'NOUN'), (""'s"", 'PART'), ('name', 'NOUN'), ('.', 'PUNCT')]"
163,formula,,erase, Please erase the formula on the blackboard -- it is wrong !,1,0,"[(' ', 'SPACE'), ('Please', 'INTJ'), ('erase', 'VERB'), ('the', 'DET'), ('formula', 'NOUN'), ('on', 'ADP'), ('the', 'DET'), ('blackboard', 'NOUN'), ('--', 'PUNCT'), ('it', 'PRON'), ('is', 'AUX'), ('wrong', 'ADJ'), ('!', 'PUNCT')]"
164,disk,,erase, Who erased the files form my hard disk ?,1,0,"[(' ', 'SPACE'), ('Who', 'PRON'), ('erased', 'VERB'), ('the', 'DET'), ('files', 'NOUN'), ('form', 'VERB'), ('my', 'PRON'), ('hard', 'ADJ'), ('disk', 'NOUN'), ('?', 'PUNCT')]"
165,unrest,,erupt, Unrest erupted in the country .,1,1,"[(' ', 'SPACE'), ('Unrest', 'PROPN'), ('erupted', 'VERB'), ('in', 'ADP'), ('the', 'DET'), ('country', 'NOUN'), ('.', 'PUNCT')]"
166,tooth,,erupt, The tooth erupted and had to be extracted .,2,1,"[(' ', 'SPACE'), ('The', 'DET'), ('tooth', 'NOUN'), ('erupted', 'VERB'), ('and', 'CCONJ'), ('had', 'VERB'), ('to', 'PART'), ('be', 'AUX'), ('extracted', 'VERB'), ('.', 'PUNCT')]"
167,rash,,erupt, A rash erupted on her arms after she had touched the exotic plant .,2,1,"[(' ', 'SPACE'), ('A', 'DET'), ('rash', 'NOUN'), ('erupted', 'VERB'), ('on', 'ADP'), ('her', 'PRON'), ('arms', 'NOUN'), ('after', 'SCONJ'), ('she', 'PRON'), ('had', 'AUX'), ('touched', 'VERB'), ('the', 'DET'), ('exotic', 'ADJ'), ('plant', 'NOUN'), ('.', 'PUNCT')]"
168,bomb,,explode, We exploded the nuclear bomb .,1,0,"[(' ', 'SPACE'), ('We', 'PRON'), ('exploded', 'VERB'), ('the', 'DET'), ('nuclear', 'ADJ'), ('bomb', 'NOUN'), ('.', 'PUNCT')]"
169,bottle,,explode, The champagne bottle exploded .,3,0,"[(' ', 'SPACE'), ('The', 'DET'), ('champagne', 'NOUN'), ('bottle', 'NOUN'), ('exploded', 'VERB'), ('.', 'PUNCT')]"
170,boss,,explode, The boss exploded when he heard of the resignation of the secretary .,2,1,"[(' ', 'SPACE'), ('The', 'DET'), ('boss', 'NOUN'), ('exploded', 'VERB'), ('when', 'SCONJ'), ('he', 'PRON'), ('heard', 'VERB'), ('of', 'ADP'), ('the', 'DET'), ('resignation', 'NOUN'), ('of', 'ADP'), ('the', 'DET'), ('secretary', 'NOUN'), ('.', 'PUNCT')]"
171,bridge,,explode, The enemy exploded the bridge .,2,0,"[(' ', 'SPACE'), ('The', 'DET'), ('enemy', 'NOUN'), ('exploded', 'VERB'), ('the', 'DET'), ('bridge', 'NOUN'), ('.', 'PUNCT')]"
172,lock,,fasten, He fastened the lock onto the door .,1,0,"[(' ', 'SPACE'), ('He', 'PRON'), ('fastened', 'VERB'), ('the', 'DET'), ('lock', 'NOUN'), ('onto', 'ADP'), ('the', 'DET'), ('door', 'NOUN'), ('.', 'PUNCT')]"
173,dress,,fasten, This dress fastens in the back .,2,0,"[(' ', 'SPACE'), ('This', 'DET'), ('dress', 'NOUN'), ('fastens', 'NOUN'), ('in', 'ADP'), ('the', 'DET'), ('back', 'NOUN'), ('.', 'PUNCT')]"
174,nickname,,fasten, They fastened various nicknames to each other .,1,1,"[(' ', 'SPACE'), ('They', 'PRON'), ('fastened', 'VERB'), ('various', 'ADJ'), ('nicknames', 'NOUN'), ('to', 'ADP'), ('each', 'DET'), ('other', 'ADJ'), ('.', 'PUNCT')]"
175,grape,,ferment, We ferment the grapes for a very long time to achieve high alcohol content .,1,0,"[(' ', 'SPACE'), ('We', 'PRON'), ('ferment', 'VERB'), ('the', 'DET'), ('grapes', 'NOUN'), ('for', 'ADP'), ('a', 'DET'), ('very', 'ADV'), ('long', 'ADJ'), ('time', 'NOUN'), ('to', 'PART'), ('achieve', 'VERB'), ('high', 'ADJ'), ('alcohol', 'NOUN'), ('content', 'NOUN'), ('.', 'PUNCT')]"
176,child,,fill, fill the child with pride .,0,1,"[(' ', 'SPACE'), ('fill', 'VERB'), ('the', 'DET'), ('child', 'NOUN'), ('with', 'ADP'), ('pride', 'NOUN'), ('.', 'PUNCT')]"
177,pool,,fill, The pool slowly filled with water .,3,0,"[(' ', 'SPACE'), ('The', 'DET'), ('pool', 'NOUN'), ('slowly', 'ADV'), ('filled', 'VERB'), ('with', 'ADP'), ('water', 'NOUN'), ('.', 'PUNCT')]"
178,container,,fill, The liquid fills the container .,2,0,"[(' ', 'SPACE'), ('The', 'DET'), ('liquid', 'NOUN'), ('fills', 'VERB'), ('the', 'DET'), ('container', 'NOUN'), ('.', 'PUNCT')]"
179,wing,,flap, The bird flapped its wings .,2,0,"[(' ', 'SPACE'), ('The', 'DET'), ('bird', 'NOUN'), ('flapped', 'VERB'), ('its', 'PRON'), ('wings', 'NOUN'), ('.', 'PUNCT')]"
180,star,,flare, Every star seemed to flare with new intensity .,4,1,"[(' ', 'SPACE'), ('Every', 'DET'), ('star', 'NOUN'), ('seemed', 'VERB'), ('to', 'PART'), ('flare', 'VERB'), ('with', 'ADP'), ('new', 'ADJ'), ('intensity', 'NOUN'), ('.', 'PUNCT')]"
181,light,,flash, The lights were flashing .,3,0,"[(' ', 'SPACE'), ('The', 'DET'), ('lights', 'NOUN'), ('were', 'AUX'), ('flashing', 'VERB'), ('.', 'PUNCT')]"
182,intelligence,,flash, The latest intelligence is flashed to all command posts .,4,1,"[(' ', 'SPACE'), ('The', 'DET'), ('latest', 'ADJ'), ('intelligence', 'NOUN'), ('is', 'AUX'), ('flashed', 'VERB'), ('to', 'ADP'), ('all', 'DET'), ('command', 'NOUN'), ('posts', 'NOUN'), ('.', 'PUNCT')]"
183,bill,,flash, he flashed a $ 100 bill .,1,1,"[(' ', 'SPACE'), ('he', 'PRON'), ('flashed', 'VERB'), ('a', 'DET'), ('$', 'SYM'), ('100', 'NUM'), ('bill', 'NOUN'), ('.', 'PUNCT')]"
184,star,,flash, A shooting star flashed and was gone .,3,0,"[(' ', 'SPACE'), ('A', 'DET'), ('shooting', 'VERB'), ('star', 'NOUN'), ('flashed', 'VERB'), ('and', 'CCONJ'), ('was', 'AUX'), ('gone', 'VERB'), ('.', 'PUNCT')]"
185,log,,float, He floated the logs down the river .,1,0,"[(' ', 'SPACE'), ('He', 'PRON'), ('floated', 'VERB'), ('the', 'DET'), ('logs', 'NOUN'), ('down', 'ADP'), ('the', 'DET'), ('river', 'NOUN'), ('.', 'PUNCT')]"
186,idea,,float, The Republicans are floating the idea of a tax reform .,3,1,"[(' ', 'SPACE'), ('The', 'DET'), ('Republicans', 'PROPN'), ('are', 'AUX'), ('floating', 'VERB'), ('the', 'DET'), ('idea', 'NOUN'), ('of', 'ADP'), ('a', 'DET'), ('tax', 'NOUN'), ('reform', 'NOUN'), ('.', 'PUNCT')]"
187,dancer,,float, The dancer floated across the stage .,2,1,"[(' ', 'SPACE'), ('The', 'DET'), ('dancer', 'NOUN'), ('floated', 'VERB'), ('across', 'ADP'), ('the', 'DET'), ('stage', 'NOUN'), ('.', 'PUNCT')]"
188,ruble,,float, The government floated the ruble for a few months .,2,1,"[(' ', 'SPACE'), ('The', 'DET'), ('government', 'NOUN'), ('floated', 'VERB'), ('the', 'DET'), ('ruble', 'NOUN'), ('for', 'ADP'), ('a', 'DET'), ('few', 'ADJ'), ('months', 'NOUN'), ('.', 'PUNCT')]"
189,village,,flood, The swollen river flooded the village .,3,0,"[(' ', 'SPACE'), ('The', 'DET'), ('swollen', 'ADJ'), ('river', 'NOUN'), ('flooded', 'VERB'), ('the', 'DET'), ('village', 'NOUN'), ('.', 'PUNCT')]"
190,market,,flood, flood the market with tennis shoes .,0,1,"[(' ', 'SPACE'), ('flood', 'VERB'), ('the', 'DET'), ('market', 'NOUN'), ('with', 'ADP'), ('tennis', 'NOUN'), ('shoes', 'NOUN'), ('.', 'PUNCT')]"
