index	sentence	Sources	Source_Index	Targets	Target_Index	metaphoricity_score	new_sentences
1969	Seeking to be seen as pursuing a democratic approach to indefinite power, and hiding behind a democracy veneer, Mr. Putin has but two choices:	veneer	17	democracy	16	3.0	veneer has property bad. Seeking to be seen as pursuing a democratic approach to indefinite power, and hiding behind a democracy veneer, Mr. Putin has but two choices:
1970	You omit the mental gymnastics you played to hide how much you wished that Those Who Have a Lot knew you when, so they’d understand how much it hurt when they’d pipe up in class about how poverty is a birthright of the irresponsible and the deranged, the deviant and the demented.	birthright	40	poverty	37	3.0	birthright has property good. You omit the mental gymnastics you played to hide how much you wished that Those Who Have a Lot knew you when, so they’d understand how much it hurt when they’d pipe up in class about how poverty is a birthright of the irresponsible and the deranged, the deviant and the demented.
1971	"The social relations of the school community were ideal for teaching students good citizenship, especially the common school which is an ""embryonic democracy."""	embryonic	21	democracy	22	3.0	"embryonic has property benign. The social relations of the school community were ideal for teaching students good citizenship, especially the common school which is an ""embryonic democracy."""
1972	Later kings more consistently abuse the privileges their wealth grants them, among whom Ahab is probably the worst ( 1 Kings 21 ).	grants	9	wealth	8	3.0	grants has property good. Later kings more consistently abuse the privileges their wealth grants them, among whom Ahab is probably the worst ( 1 Kings 21 ).
1973	The birthright of wealth can sometimes cause a person to look down with disdain at another less fortunate.	birthright	1	wealth	3	3.0	birthright has property good. The birthright of wealth can sometimes cause a person to look down with disdain at another less fortunate.
1974	For one, our style of democracy polarizes groups to a with us/against us mentality.	polarizes	6	democracy	5	3.0	polarizes has property lightweight. For one, our style of democracy polarizes groups to a with us/against us mentality.
1975	Can we Accelerate Democracy with new information technologies and more transparent rule following and accountability?	Accelerate	2	Democracy	3	3.0	Accelerate has property good. Can we Accelerate Democracy with new information technologies and more transparent rule following and accountability?
1977	Centralisation is, as history often shows, the short road to bureaucracy, decay, stagnation and decline.	road	8	bureaucracy	10	3.0	road has property confuse. Centralisation is, as history often shows, the short road to bureaucracy, decay, stagnation and decline.
1978	The bureaucratic pruning the Secretary General has in mind clearly falls well short of the ''50 percent cut in the entire U.N. bureaucracy'' demanded last year by Senator Jesse Helms, the North Carolina Republican who is chairman of the Senate Foreign Relations Committee and the most powerful congressional critic of the United Nations.	pruning	2	bureaucratic	1	3.0	pruning has property fun. The bureaucratic pruning the Secretary General has in mind clearly falls well short of the ''50 percent cut in the entire U.N. bureaucracy'' demanded last year by Senator Jesse Helms, the North Carolina Republican who is chairman of the Senate Foreign Relations Committee and the most powerful congressional critic of the United Nations.
1979	Such data suggest that increasing the EPA's budget, as the Obama administration has proposed, will only increase bureaucracy, not air quality.	increase	16	bureaucracy	17	3.0	increase has property good. Such data suggest that increasing the EPA's budget, as the Obama administration has proposed, will only increase bureaucracy, not air quality.
1980	But even if it did the feminist exploitation of the bureaucracy scarcely justifies a distortion of the law as originally intended.	exploitation	7	bureaucracy	10	3.0	exploitation has property bad. But even if it did the feminist exploitation of the bureaucracy scarcely justifies a distortion of the law as originally intended.
1981	Perhaps he is, but if the Times story had not appeared on the threshold of the election, the mindset of the nation and especially of the Beltway would have been different, much less ready to believe he would commit electoral fraud and risk plunging his nation into civil war.	threshold	13	election	16	3.0	threshold has property open. Perhaps he is, but if the Times story had not appeared on the threshold of the election, the mindset of the nation and especially of the Beltway would have been different, much less ready to believe he would commit electoral fraud and risk plunging his nation into civil war.
1982	Should have heard the rolling bureaucratic thunder, seen the corporate lightening.	thunder	6	bureaucratic	5	3.0	thunder has property loud. Should have heard the rolling bureaucratic thunder, seen the corporate lightening.
1983	As we celebrate Texas Independence Day, I need to inform you of the status of the latest in a House election contest that has dealt with one of the most fundamental rights we have to preserve the freedom that Texans and Tejanos fought and died for 175 years ago- the right to vote.	contest	21	election	20	3.0	contest has property fun. As we celebrate Texas Independence Day, I need to inform you of the status of the latest in a House election contest that has dealt with one of the most fundamental rights we have to preserve the freedom that Texans and Tejanos fought and died for 175 years ago- the right to vote.
1984	“This cannot be called poverty migration,” insists Herbert Brücker of the IAB.	migration	5	poverty	4	3.0	migration has property bad. “This cannot be called poverty migration,” insists Herbert Brücker of the IAB.
1985	Wisconsin Republican names notorious election thief to oversee the next election	thief	5	election	10	3.0	thief has property dangerous. Wisconsin Republican names notorious election thief to oversee the next election
1986	Globalisation and the world-wide free market are freeing millions of individuals from the poverty-claws of Statism.	claws	13	poverty	13	3.0	claws has property sharp. Globalisation and the world-wide free market are freeing millions of individuals from the poverty-claws of Statism.
1987	How can we begin to tame the time poverty tiger, personally, culturally, and in terms of policies?	tiger	9	poverty	8	3.0	tiger has property dangerous. How can we begin to tame the time poverty tiger, personally, culturally, and in terms of policies?
1988	As further evidence that public confirmations or retention elections alleviate much of the concern over judicial appointments, a majority of voters disagree with the accountability argument.	alleviate	9	elections	8	3.0	alleviate has property good. As further evidence that public confirmations or retention elections alleviate much of the concern over judicial appointments, a majority of voters disagree with the accountability argument.
1989	Taxpayers are being herded into a niche somewhere between the partisan bickering in Washington, D.C., neither side is being adequately represented and all taxpayers are being sacrificed for the benefit of a few.	herded	3	Taxpayers	0	3.0	herded has property fun. Taxpayers are being herded into a niche somewhere between the partisan bickering in Washington, D.C., neither side is being adequately represented and all taxpayers are being sacrificed for the benefit of a few.
1990	At least everything works here, but the city chuckles fatly under a carapace of wealth and privilege.	carapace	12	wealth	14	3.0	carapace has property slow. At least everything works here, but the city chuckles fatly under a carapace of wealth and privilege.
1991	This creates an ambush of taxes and penalties because income taxes and early withdrawal penalties will be assessed on the amount of your unpaid loan.	ambush	3	taxes	10	3.0	ambush has property bad. This creates an ambush of taxes and penalties because income taxes and early withdrawal penalties will be assessed on the amount of your unpaid loan.
1992	But with the Libertarian nomination in hand, Barr hopes to follow in the footsteps of Ross Perot and Nader, whose third-party presidential bids wreaked general-election havoc.	havoc	25	general-election	24	3.0	havoc has property bad. But with the Libertarian nomination in hand, Barr hopes to follow in the footsteps of Ross Perot and Nader, whose third-party presidential bids wreaked general-election havoc.
1993	The 08 election crushed her world view.	crushed	3	election	2	3.0	crushed has property bad. The 08 election crushed her world view.
1994	Unfortunately, because the money came from the wife’s family, the husband felt diminished, and the sudden wealth torpedoed his will to work.	torpedoed	17	wealth	16	3.0	torpedoed has property hazardous to your health. Unfortunately, because the money came from the wife’s family, the husband felt diminished, and the sudden wealth torpedoed his will to work.
1995	Why can’t the movement re-up now that the specter of the election has drifted away?	specter	8	election	11	3.0	specter has property scary. Why can’t the movement re-up now that the specter of the election has drifted away?
1996	There is only one way to stop the tax hemorrhage.	hemorrhage	9	tax	8	3.0	hemorrhage has property fatal. There is only one way to stop the tax hemorrhage.
1997	Every election fattens the coffers of the local press.	fattens	2	election	1	3.0	fattens has property expensive. Every election fattens the coffers of the local press.
1998	Motlagh spent weeks on the election trail with extraordinary access to some of the country's leading political players, including reformers and brutal warlords.	trail	6	election	5	3.0	trail has property slippery. Motlagh spent weeks on the election trail with extraordinary access to some of the country's leading political players, including reformers and brutal warlords.
1999	Voters approved a tax freeze for seniors and people with disabilities in 2006, and now local governments strapped for cash are coming back to them with hands out.	freeze	4	tax	3	3.0	freeze has property cold. Voters approved a tax freeze for seniors and people with disabilities in 2006, and now local governments strapped for cash are coming back to them with hands out.
2000	* Although it’s now being reported, most of the American public, distracted by the cheerleading, hasn’t noticed that despite the general falseness and blindness of the election, the Iraqis learned enough about who was representing what to give the leaders of our puppet government, led by Ayad Allawi, a thorough whupping.	blindness	23	election	26	3.0	blindness has property bad. * Although it’s now being reported, most of the American public, distracted by the cheerleading, hasn’t noticed that despite the general falseness and blindness of the election, the Iraqis learned enough about who was representing what to give the leaders of our puppet government, led by Ayad Allawi, a thorough whupping.
2001	If social media provides any indication of the barometer of the election then this is indeed becoming an interesting race, one that we can follow in real time on Facebook.	barometer	8	election	11	3.0	barometer has property old. If social media provides any indication of the barometer of the election then this is indeed becoming an interesting race, one that we can follow in real time on Facebook.
2002	There is going to be a taxpayer tsunami that sweeps the nation on this issue.	tsunami	7	taxpayer	6	3.0	tsunami has property very violent. There is going to be a taxpayer tsunami that sweeps the nation on this issue.
2003	Instead of benefiting from a rising tide that lifts all boats, taxpayers are swamped by higher taxes, more congestion, a degraded environment, a hugely overblown real-estate market and, maybe, a few more service-sector jobs.	swamped	13	taxpayers	11	3.0	swamped has property bad. Instead of benefiting from a rising tide that lifts all boats, taxpayers are swamped by higher taxes, more congestion, a degraded environment, a hugely overblown real-estate market and, maybe, a few more service-sector jobs.
2004	Baby boomers, who are reaching the age of 65 at the rate of 7,000 a day, have lots of pent-up wealth, he notes, and are used to paying for services.	pent-up	19	wealth	20	3.0	pent-up has property bad. Baby boomers, who are reaching the age of 65 at the rate of 7,000 a day, have lots of pent-up wealth, he notes, and are used to paying for services.
2005	This we have witnessed first hand when the government extorts taxpayers by using our military and other essential programs by tacking on their own pork spending and salary increases.	extorts	9	taxpayers	10	3.0	extorts has property bad. This we have witnessed first hand when the government extorts taxpayers by using our military and other essential programs by tacking on their own pork spending and salary increases.
2006	Last, pro sports use prospective cities like Orlando as pawns to blackmail taxpayers of current franchises to pony up for better facilities.	blackmail	11	taxpayers	12	3.0	blackmail has property bad. Last, pro sports use prospective cities like Orlando as pawns to blackmail taxpayers of current franchises to pony up for better facilities.
2007	The workfare concept is far superior to the failed policies that created the current system of welfare dependency, which victimizes taxpayers and welfare recipients alike.	victimizes	19	taxpayers	20	3.0	victimizes has property bad. The workfare concept is far superior to the failed policies that created the current system of welfare dependency, which victimizes taxpayers and welfare recipients alike.
2008	Malloys budget still rapes taxpayers for $3 billion so that status quo can prevail.	rapes	3	taxpayers	4	3.0	rapes has property bad. Malloys budget still rapes taxpayers for $3 billion so that status quo can prevail.
2009	His policies sow poverty and discord.	sow	2	poverty	3	3.0	sow has property female. His policies sow poverty and discord.
2010	Inflation in value is not under the control of legislators and is the reason we are suffering from the blight of taxation without representation.	blight	19	taxation	21	3.0	blight has property bad. Inflation in value is not under the control of legislators and is the reason we are suffering from the blight of taxation without representation.
2011	As the English garnered wealth, they became enthusiastic consumers and collectors of elegant jewelry in specific styles and materials.	garnered	3	wealth	4	3.0	garnered has property good. As the English garnered wealth, they became enthusiastic consumers and collectors of elegant jewelry in specific styles and materials.
2012	The first poverty Enlightenment which took place between the late 18th century and the middle of the 20th century changed those views.	Enlightenment	3	poverty	2	3.0	Enlightenment has property good. The first poverty Enlightenment which took place between the late 18th century and the middle of the 20th century changed those views.
2013	Prosperity extinguishes revolutionary traits whereas poverty inflames them.	inflames	6	poverty	5	3.0	inflames has property dangerous. Prosperity extinguishes revolutionary traits whereas poverty inflames them.
2014	Your wealth is a servant as you use it to feed and clothe your family, and as you use it to provide opportunities for them to grow in faith.	servant	4	wealth	1	3.0	servant has property courteous. Your wealth is a servant as you use it to feed and clothe your family, and as you use it to provide opportunities for them to grow in faith.
2015	Greed is not considered an awful vice in poor communities--everyone reacts differently to the invisible squeeze of poverty.	squeeze	15	poverty	17	3.0	squeeze has property good. Greed is not considered an awful vice in poor communities--everyone reacts differently to the invisible squeeze of poverty.
2016	When wealth squeezes people out of the housing market, wealth should pay for the solutions.	squeezes	2	wealth	9	3.0	squeezes has property good. When wealth squeezes people out of the housing market, wealth should pay for the solutions.
2017	Rather than pulling back its curtain of taxation along the border, they've decided to use it to invade New Hampshire.	curtain	5	taxation	7	3.0	curtain has property transparent. Rather than pulling back its curtain of taxation along the border, they've decided to use it to invade New Hampshire.
2018	And they don’t have the glamour and veneer of wealth that appeals and dazzles, nor do they have the support of the lobbyists they can promise sweet payouts to once they get into office.	veneer	7	wealth	9	3.0	veneer has property bad. And they don’t have the glamour and veneer of wealth that appeals and dazzles, nor do they have the support of the lobbyists they can promise sweet payouts to once they get into office.
2019	With 70 percent of them receiving a free or reduced-price lunch and with DC's child poverty rate well above the national average, poverty is a mountain that children in our nation's capital climb daily.	mountain	25	poverty	22	3.0	mountain has property beautiful. With 70 percent of them receiving a free or reduced-price lunch and with DC's child poverty rate well above the national average, poverty is a mountain that children in our nation's capital climb daily.
2020	If you drink of the wine of power, the wine of wealth, the wine of influence, you could become drunk and not be able to assess properly your thinking, your actions, your policies or your programs.	wine	13	wealth	11	3.0	wine has property good for you. If you drink of the wine of power, the wine of wealth, the wine of influence, you could become drunk and not be able to assess properly your thinking, your actions, your policies or your programs.
2021	Does tax greed ever stop?	greed	2	tax	1	3.0	greed has property bad. Does tax greed ever stop?
2022	Its ‘main’ protagonist is little more than a spectator to the splendor and mystery of Jay Gatsby, a foolish man bent on using extravagance and parties filled to the brim with socialites and greedy wealth to initiate contact with a former flame, the cartoonish Daisy Buchanan.	greedy	33	wealth	34	3.0	greedy has property good. Its ‘main’ protagonist is little more than a spectator to the splendor and mystery of Jay Gatsby, a foolish man bent on using extravagance and parties filled to the brim with socialites and greedy wealth to initiate contact with a former flame, the cartoonish Daisy Buchanan.
2023	Taxation grips us by the gut every April, yet text treatments of the subject never manage to hold our interest through the drone of bean-counter buzzwords.	grips	1	Taxation	0	3.0	grips has property strong. Taxation grips us by the gut every April, yet text treatments of the subject never manage to hold our interest through the drone of bean-counter buzzwords.
2024	Sorry, but those who have benefitted most from corrupt taxation now need to give back.	corrupt	8	taxation	9	3.0	corrupt has property bad. Sorry, but those who have benefitted most from corrupt taxation now need to give back.
2025	Should he succeed, he's likely to bring this poverty propagation to Washington.	propagation	9	poverty	8	3.0	propagation has property good. Should he succeed, he's likely to bring this poverty propagation to Washington.
2026	We are no longer the low-tax beacon of the major industrialized world.	beacon	6	low-tax	5	3.0	beacon has property visible at night. We are no longer the low-tax beacon of the major industrialized world.
2027	Split-rate taxation reflects the priorities of fledgling companies by incentivizing dense commercial and residential building.	reflects	2	taxation	1	3.0	reflects has property reflective. Split-rate taxation reflects the priorities of fledgling companies by incentivizing dense commercial and residential building.
2028	A law license is a money making tool and poverty is the grease.	grease	12	poverty	9	3.0	grease has property sticky. A law license is a money making tool and poverty is the grease.
2029	Taxes are the lubricant that keep the country moving.	lubricant	3	Taxes	0	3.0	lubricant has property lubricant. Taxes are the lubricant that keep the country moving.
2030	"To face the challenge, Bush proposes ""means testing,"" or applying a wealth gauge, to force the better-off to shoulder more of their bills."	gauge	12	wealth	11	3.0	"gauge has property useful for measure weight of object. To face the challenge, Bush proposes ""means testing,"" or applying a wealth gauge, to force the better-off to shoulder more of their bills."
2031	The Commercial Operators Tax Seminar, co-hosted by NATA and Conklin & deDecker, is the only tax seminar that provides operators with detailed information on federal excise taxes (FET), how those taxes intertwine with FAA operational regulations, tips for surviving an FET audit and other key tax issues.	intertwine	31	taxes	30	3.0	intertwine has property fun. The Commercial Operators Tax Seminar, co-hosted by NATA and Conklin & deDecker, is the only tax seminar that provides operators with detailed information on federal excise taxes (FET), how those taxes intertwine with FAA operational regulations, tips for surviving an FET audit and other key tax issues.
2032	The cast is terrific, the sound is subtle but eerie, the set reeks of spotless, antiseptic wealth and emptiness.	antiseptic	15	wealth	16	3.0	antiseptic has property sterilize. The cast is terrific, the sound is subtle but eerie, the set reeks of spotless, antiseptic wealth and emptiness.
2033	He lives in New York City, where he inhabits a closet, rides the subway, and pays monstrous taxes.	monstrous	16	taxes	17	3.0	monstrous has property scary. He lives in New York City, where he inhabits a closet, rides the subway, and pays monstrous taxes.
2034	The governor has promised (or threatened, depending on your point of view) to deliver an all-cuts budget – but only if more tax money can't be wrenched from the clutches of taxpayers it rightfully belongs to.	clutches	29	taxpayers	31	3.0	clutches has property dangerous. The governor has promised (or threatened, depending on your point of view) to deliver an all-cuts budget – but only if more tax money can't be wrenched from the clutches of taxpayers it rightfully belongs to.
2035	Because the trajectory of wealth is pointing away from highly indebted, wealth-grabbing, freedom-stealing nations in the west.	trajectory	2	wealth	11	3.0	trajectory has property dangerous. Because the trajectory of wealth is pointing away from highly indebted, wealth-grabbing, freedom-stealing nations in the west.
2036	A bearish trend that seeks to re-calibrate the bullish mindset through devastation of wealth In either case, the goal is the same: To create a dislocation in market psychology that yields the ammunition necessary to take on the convergence of technical resistance points we are currently facing.	devastation	11	wealth	13	3.0	devastation has property bad. A bearish trend that seeks to re-calibrate the bullish mindset through devastation of wealth In either case, the goal is the same: To create a dislocation in market psychology that yields the ammunition necessary to take on the convergence of technical resistance points we are currently facing.
2037	How do you know if you are on the brink of change and you just need the right bit of information to tip you over the edge into a wealth avalanche?	avalanche	30	wealth	29	3.0	avalanche has property dangerous. How do you know if you are on the brink of change and you just need the right bit of information to tip you over the edge into a wealth avalanche?
2038	A people with every right to sit at the table of blessing and still choosing to eat from the trough of poverty.	trough	19	poverty	21	3.0	trough has property high in water. A people with every right to sit at the table of blessing and still choosing to eat from the trough of poverty.
2039	The government has to stop punishing Americans for immigration via such obese taxation (the funds of which are directed at socialized public spending) that encourages further illegal immigration.	obese	11	taxation	12	3.0	obese has property obese. The government has to stop punishing Americans for immigration via such obese taxation (the funds of which are directed at socialized public spending) that encourages further illegal immigration.
2040	I’ll make this bet – if they do win the Prez prize, you can be sure that the fastest growing industry will not be that in the private sector – it WILL be the non-profits, the social services organizations, that will be feasting off the fat of taxes (e.g., those that are really in it for the business rather than the charitable purposes).	fat	45	taxes	47	3.0	fat has property good for you. I’ll make this bet – if they do win the Prez prize, you can be sure that the fastest growing industry will not be that in the private sector – it WILL be the non-profits, the social services organizations, that will be feasting off the fat of taxes (e.g., those that are really in it for the business rather than the charitable purposes).
2041	Government taxation is a parasite on the economic life of any country.	parasite	4	taxation	1	3.0	parasite has property contagious. Government taxation is a parasite on the economic life of any country.
2042	My idea of pursuing happiness does not include the leech of taxation and the loss of freedoms by regulation without representation.	leech	9	taxation	11	3.0	leech has property poisonous. My idea of pursuing happiness does not include the leech of taxation and the loss of freedoms by regulation without representation.
2043	Poverty is a kind gravity in which poverty is a restraint on getting better health, better education and better jobs that provide the wealth of money and time to create a better education for their children.	restraint	10	poverty	7	3.0	restraint has property good. Poverty is a kind gravity in which poverty is a restraint on getting better health, better education and better jobs that provide the wealth of money and time to create a better education for their children.
2044	This sort of taxation threatens to cripple the very job creators that will lead the way out of America’s economic malaise.”	threatens	4	taxation	3	3.0	threatens has property bad. This sort of taxation threatens to cripple the very job creators that will lead the way out of America’s economic malaise.”
2045	After hours of high stakes negotiations, European finance ministers have struck a deal to help shield taxpayers from bank failures.	shield	15	taxpayers	16	3.0	shield has property dangerous. After hours of high stakes negotiations, European finance ministers have struck a deal to help shield taxpayers from bank failures.
2046	The saving that the community makes is the root of wealth in any branch of material development.	root	8	wealth	10	3.0	root has property green. The saving that the community makes is the root of wealth in any branch of material development.
2047	Crushing taxation raced with a rising cost of living and people all over the world were looking for an excuse to fight back against everything.	raced	2	taxation	1	3.0	raced has property fun. Crushing taxation raced with a rising cost of living and people all over the world were looking for an excuse to fight back against everything.
2048	Putin understands that the fall of the Soviet Union occurred because it was focused on not losing an arms race instead of winning a wealth race.	race	25	wealth	24	3.0	race has property fun. Putin understands that the fall of the Soviet Union occurred because it was focused on not losing an arms race instead of winning a wealth race.
2049	We focused our conversation on concentrated poverty with  a strong emphasis on its effects on black people.	concentrated	5	poverty	6	3.0	concentrated has property important. We focused our conversation on concentrated poverty with  a strong emphasis on its effects on black people.
2050	He shall then use his allocated wealth to rise in the political ranks in Britain, thus having a peaceful influence.	allocated	5	wealth	6	3.0	allocated has property expensive. He shall then use his allocated wealth to rise in the political ranks in Britain, thus having a peaceful influence.
2051	The federal government currently measures poverty in America using a method originally developed in 1963.	measures	4	poverty	5	3.0	measures has property important. The federal government currently measures poverty in America using a method originally developed in 1963.
2052	A combination of new fees and a change in how the municipality of Anchorage formulates taxes on leaseholds will deal a double blow to businesses operating out of Merrill Field in Anchorage.	formulates	14	taxes	15	3.0	formulates has property easy to memorize. A combination of new fees and a change in how the municipality of Anchorage formulates taxes on leaseholds will deal a double blow to businesses operating out of Merrill Field in Anchorage.
2053	Behind the details of the reports was the relentless and numbing backdrop of poverty: homelessness, inadequate housing and food, chronic medical problems, family violence.	backdrop	11	poverty	13	3.0	backdrop has property reflective. Behind the details of the reports was the relentless and numbing backdrop of poverty: homelessness, inadequate housing and food, chronic medical problems, family violence.
2054	Don't be Defeated by Poverty Chen Yong	Defeated	2	Poverty	4	3.0	Defeated has property good. Don't be Defeated by Poverty Chen Yong
2055	Modern Liberalism's many accomplishments, like the war on poverty that ended with the unconditional surrender of poverty, are just intimidating.	surrender	14	poverty	16	3.0	surrender has property good. Modern Liberalism's many accomplishments, like the war on poverty that ended with the unconditional surrender of poverty, are just intimidating.
2056	Global wealth has been concentrated into a few million hands, with the majority of Earth's fifteen billion inhabitants mired in contentious poverty.	contentious	20	poverty	21	3.0	contentious has property bad. Global wealth has been concentrated into a few million hands, with the majority of Earth's fifteen billion inhabitants mired in contentious poverty.
2057	What they have in mind instead is a well-designed taxpayer ambush, down in the definitions, that gives them a key to the state treasury.	ambush	10	taxpayer	9	3.0	ambush has property bad. What they have in mind instead is a well-designed taxpayer ambush, down in the definitions, that gives them a key to the state treasury.
2058	In a Christian point of view we can easily say that wealth is an enemy of faith.	enemy	14	wealth	11	3.0	enemy has property evil. In a Christian point of view we can easily say that wealth is an enemy of faith.
2059	It is about the struggle of mother’s love and responsibility with love for a man, about the burning pains and triumphs of love, about the defeat of wealth and freedom to roots and responsibilities.	defeat	25	wealth	27	3.0	defeat has property bad. It is about the struggle of mother’s love and responsibility with love for a man, about the burning pains and triumphs of love, about the defeat of wealth and freedom to roots and responsibilities.
2060	"The center fielder is a man of talent (Van Slyke has hit .339 through 58 games), wit (Van Slyke hung the designation ""Poison Avery"" on the Braves' left-handed pitcher during the 1991 Pirates-Braves league championship series) and occasionally controversial wealth (he signed a three-year $12.6 million contract extension before the 1991 season)."	controversial	38	wealth	39	3.0	"controversial has property controversial. The center fielder is a man of talent (Van Slyke has hit .339 through 58 games), wit (Van Slyke hung the designation ""Poison Avery"" on the Braves' left-handed pitcher during the 1991 Pirates-Braves league championship series) and occasionally controversial wealth (he signed a three-year $12.6 million contract extension before the 1991 season)."
2061	Cold is the temperature of poverty!	temperature	3	poverty	5	3.0	temperature has property low. Cold is the temperature of poverty!
2062	You don't want to take people's start-up cash and throw it in the furnace of taxation.	furnace	13	taxation	15	3.0	furnace has property hot. You don't want to take people's start-up cash and throw it in the furnace of taxation.
2063	Oil wealth pirate and Alaska governor, Sean Parnell.	pirate	2	wealth	1	3.0	pirate has property dangerous. Oil wealth pirate and Alaska governor, Sean Parnell.
2064	It will take more than spewing unproductive remarks to change things and the only way to do that is to show up at a city council meeting en mass to let them know how you feel about the situation which could only be called apartheid that steers poverty and illegal immigrants to this area.	steers	46	poverty	47	3.0	steers has property dangerous. It will take more than spewing unproductive remarks to change things and the only way to do that is to show up at a city council meeting en mass to let them know how you feel about the situation which could only be called apartheid that steers poverty and illegal immigrants to this area.
2065	Using a trusty “Academic to English” translator, you get this: “A primary implication of our results is that a government which seeks to prioritize and advance its own internal interests over the interests of citizens will want to reduce the visibility of taxation.	visibility	40	taxation	42	3.0	visibility has property scary. Using a trusty “Academic to English” translator, you get this: “A primary implication of our results is that a government which seeks to prioritize and advance its own internal interests over the interests of citizens will want to reduce the visibility of taxation.
2066	And their manipulation of rhetoric blinds taxpayers to the inappropriateness of both their means and ends.	blinds	5	taxpayers	6	3.0	blinds has property opaque. And their manipulation of rhetoric blinds taxpayers to the inappropriateness of both their means and ends.
2067	They will try to make the use of arms prohibitively expensive, or useless in some other way through a war of taxation and attrition, and the hyper regulation of munition factories (laws regardining workers around lead).	war	19	taxation	21	3.0	war has property bad. They will try to make the use of arms prohibitively expensive, or useless in some other way through a war of taxation and attrition, and the hyper regulation of munition factories (laws regardining workers around lead).
2069	The legislation came after a special house committee that was weighing the tax climate for Illinois businesses was unable to reach a consensus on any substantial recommendations.	climate	13	tax	12	3.0	climate has property cold. The legislation came after a special house committee that was weighing the tax climate for Illinois businesses was unable to reach a consensus on any substantial recommendations.
2070	The truck's rear doors then burst open and rained wealth on Overtown, which is mostly black, mostly poor and was the scene of bitter riots in the 1980's.	rained	8	wealth	9	3.0	rained has property fun. The truck's rear doors then burst open and rained wealth on Overtown, which is mostly black, mostly poor and was the scene of bitter riots in the 1980's.
2072	Guns will continue to flood the northern cities and the pockets of the gun manufacturers/traffickers will continue to grow fatter.	flood	4	Guns	0	3.0	flood has property dangerous. Guns will continue to flood the northern cities and the pockets of the gun manufacturers/traffickers will continue to grow fatter.
2073	Supporters of stricter gun control argue that broad gunrights inhibit the government from fulfilling that responsibility...	inhibit	9	gunrights	8	3.0	inhibit has property bad. Supporters of stricter gun control argue that broad gunrights inhibit the government from fulfilling that responsibility...
2074	History has proven that guns are essential to self-defense and liberty—but tragedy is a powerful force and has led many to believe that guns are the enemy, that the Second Amendment is outdated, and that more restrictions or outright bans on firearms will somehow solve everything.	enemy	26	guns	23	3.0	enemy has property evil. History has proven that guns are essential to self-defense and liberty—but tragedy is a powerful force and has led many to believe that guns are the enemy, that the Second Amendment is outdated, and that more restrictions or outright bans on firearms will somehow solve everything.
2075	The guns that fueled this fire came from a small number of individuals bringing guns into the city.	fueled	3	guns	14	3.0	fueled has property dangerous. The guns that fueled this fire came from a small number of individuals bringing guns into the city.
2076	The Constitutional seed has been firmly placed, and one of the Sheriffs in New Hampshire has conceded that the Obama's placement on the primary ballot in NH is in clear violation of NH law; in that on November 18, 2011, theBallot Law Commission failed to answer the complaint questioning Obama's eligibility.	seed	2	Constitutional	1	3.0	seed has property good to eat. The Constitutional seed has been firmly placed, and one of the Sheriffs in New Hampshire has conceded that the Obama's placement on the primary ballot in NH is in clear violation of NH law; in that on November 18, 2011, theBallot Law Commission failed to answer the complaint questioning Obama's eligibility.
2077	The “slow cooking frog” has awakened due to the searing heat of government.	heat	10	government	12	3.0	heat has property soothe. The “slow cooking frog” has awakened due to the searing heat of government.
2078	Remember when government used to be considered a safety net?  As libertarians, we can make all of the arguments against form of welfare.  In reality, few of us have a problem with government-as-safety-net.  We'll find a way to rationalize not having orphans starving on American streets.  We'll call starving children an externality - or something.   Government, though, is no longer a safety net.  It's not something you fall back on.  Government is a hammock.  It's supposed to be ever present so that you may check out of life.  Consider the recent Gulf of Tonkin Incident attempted terrorist attack.	hammock	73	Government	70	3.0	hammock has property comfortable. Remember when government used to be considered a safety net?  As libertarians, we can make all of the arguments against form of welfare.  In reality, few of us have a problem with government-as-safety-net.  We'll find a way to rationalize not having orphans starving on American streets.  We'll call starving children an externality - or something.   Government, though, is no longer a safety net.  It's not something you fall back on.  Government is a hammock.  It's supposed to be ever present so that you may check out of life.  Consider the recent Gulf of Tonkin Incident attempted terrorist attack.
2079	In a year of bizarre economic events, here’s one of the strangest: the rate on four-week Treasury bills fell to 0 percent. Even so, the Treasury managed to sell $30 billion of these non-performers. A New York dealer in government debt actually sold some three month Treasury bills with negative yields of 0.01 percent to 0.02 percent. If a 0 percent yield is the equivalent of putting your money under a mattress, a negative yield is the equivalent of paying the Treasury to put your money under the government’s mattress. —Bucks County Courier Times, 12/14/2008	mattress	89	government’s	88	3.0	mattress has property soft. In a year of bizarre economic events, here’s one of the strangest: the rate on four-week Treasury bills fell to 0 percent. Even so, the Treasury managed to sell $30 billion of these non-performers. A New York dealer in government debt actually sold some three month Treasury bills with negative yields of 0.01 percent to 0.02 percent. If a 0 percent yield is the equivalent of putting your money under a mattress, a negative yield is the equivalent of paying the Treasury to put your money under the government’s mattress. —Bucks County Courier Times, 12/14/2008
2080	As a government shutdown gets more likely, Washington politics gets more immature.	immature	11	politics	8	3.0	immature has property immature. As a government shutdown gets more likely, Washington politics gets more immature.
